"","sp","sample.type","sp.type.combo","mass.g","log.mass","length.mm","width.mm","height.mm","density.gcm3","toughness","log.toughness","specific.toughness","peak.force","log.peak.force","specific.peak.force","fruit.diaspore"
"1","anae","fruto","anaefruto",3.7857,0.578146195072357,33.9,19.1,10.5,1.06346991448382,1.58111933225,0.198964648794907,-0.379181546277451,1309.187779,3.11700194260478,2.53885574753242,"fruit"
"2","anae","fruto","anaefruto",2.6911,0.42992983624063,30.2,16.7,10.2,0.99909693823401,1.17097152625,0.0685463347454197,-0.36138350149521,931.6317527,2.96924428212476,2.53931444588413,"fruit"
"3","anae","fruto","anaefruto",2.875,0.458637849025649,28.9,16.1,12.4,0.951686311601434,0.58107200525,-0.235770047394327,-0.694407896419976,421.6859512,2.62498913239274,2.16635128336709,"fruit"
"4","anae","fruto","anaefruto",3.0509,0.484427972912833,31.5,16.7,11,1.00695402105724,0.48470124425,-0.314525865422247,-0.79895383833508,411.8793012,2.61476996724048,2.13034199432764,"fruit"
"5","anns","diaspora","annsdiaspora",0.0534,-1.27245874297144,9.1,3.5,2.3,1.39221196550797,0.03491433275,-1.4569962533727,-0.184537510401258,128.4671154,2.10879197258527,3.38125071555671,"diaspore"
"6","anns","diaspora","annsdiaspora",0.0558,-1.25336580106242,9.1,3.5,2.6,1.28692367943887,0.02996739075,-1.52335106927352,-0.269985268211099,108.8538153,2.03684365556084,3.29020945662326,"diaspore"
"7","anns","diaspora","annsdiaspora",0.0549,-1.26042765554991,8.8,3.8,2.7,1.16129802973751,0.03809510125,-1.41913086781199,-0.158703212262079,126.9961179,2.10379044536244,3.36421810091235,"diaspore"
"8","anns","diaspora","annsdiaspora",0.0543,-1.26520017041115,8.5,4,2.5,1.22006306963152,0.035968549,-1.44407708161445,-0.178876911203299,119.6411303,2.07788050734101,3.34308067775216,"diaspore"
"9","anns","diaspora","annsdiaspora",0.0562,-1.25026368443094,9.4,3.5,2.8,1.16515516306094,0.0345869495,-1.46108774020415,-0.210824055773213,114.7378053,2.05970653845896,3.3099702228899,"diaspore"
"10","anns","diaspora","annsdiaspora",0.0443,-1.35359627377693,7.2,3.8,2.1,1.47254886778842,0.0332184965,-1.47862002801136,-0.125023754234429,144.1577554,2.1588380115305,3.51243428530743,"diaspore"
"11","anns","diaspora","annsdiaspora",0.0499,-1.30189945437661,9,2.9,2.6,1.40439109819374,0.02094722,-1.67887360605195,-0.37697415167534,83.84685774,1.92348679154855,3.22538624592516,"diaspore"
"12","anns","diaspora","annsdiaspora",0.0459,-1.33818731446274,8.6,3.1,2,1.64408369570548,0.04786805175,-1.31995424812789,0.0182330663348536,161.319393,2.20768657920933,3.54587389367207,"diaspore"
"13","anns","diaspora","annsdiaspora",0.0422,-1.37468754903833,7.2,3.9,2.1,1.36677627156654,0.0238043895,-1.6233429521933,-0.248655403154971,93.65350777,1.97152404841307,3.3462115974514,"diaspore"
"14","apem","diaspora","apemdiaspora",0.0188,-1.72584215073632,4.3,2.6,2,1.60578511455866,0.02837266025,-1.5470999423948,0.178742208341521,93.16317527,1.96924428212476,3.69508643286108,"diaspore"
"15","apem","diaspora","apemdiaspora",0.0147,-1.83268266525182,3.7,2.2,2.1,1.64238516212767,0.031698428,-1.49896227493852,0.333720390313301,98.55683279,1.99368673861167,3.8263694038635,"diaspore"
"16","apem","diaspora","apemdiaspora",0.0222,-1.65364702554936,4.5,3,2.2,1.42757161076367,0.03966263075,-1.401618483214,0.252028542335357,97.57616778,1.98934375756923,3.64299078311859,"diaspore"
"17","apem","diaspora","apemdiaspora",0.0157,-1.80410034759077,3.1,2.8,2,1.72723452065168,0.0535755795,-1.27103312271654,0.533067224874229,101.0084953,2.00435790157232,3.80845824916308,"diaspore"
"18","ardb","diaspora","ardbdiaspora",0.0746,-1.12726117252733,5.2,4.3,4.3,1.48183534817016,0.01641218275,-1.78483365580001,-0.657572483272682,44.12992513,1.64473319063198,2.77199436315931,"diaspore"
"19","ardb","diaspora","ardbdiaspora",0.073,-1.13667713987954,5.4,4.3,4.3,1.39634767690744,0.01826413175,-1.73840096868319,-0.601723828803651,53.93657516,1.73188336635982,2.86856050623937,"diaspore"
"20","asts","diaspora","astsdiaspora",11.0384,1.04290612760252,29.6,24.5,24.4,1.19140627604747,5.5817002475,0.746766509982752,-0.296139617619767,4216.859512,3.62498913239274,2.58208300479022,"diaspore"
"21","asts","diaspora","astsdiaspora",9.6191,0.983134439676216,29.4,22.9,22.7,1.20206277255889,2.09038565975,0.320226417426882,-0.662908022249334,2834.121858,3.45241851955972,2.4692840798835,"diaspore"
"22","asts","diaspora","astsdiaspora",11.4844,1.06010831050223,33,24.5,24.5,1.1072956137637,0.995481132,-0.00196696702375367,-1.06207527752599,1824.036905,3.26103362098566,2.20092531048343,"diaspore"
